date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:55	21197/21197	---M--	200	added ('OK')	text/css	etag:%2252cd-5c8cc0c0d3034%22	http://localhost/about_me/wp-content/uploads/elementor/css/global.css?ver=1628153584	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/elementor/css/globalbdc0.css	(from http://localhost/about_me/)
15:01:55	30757/30757	---M--	200	added ('OK')	text/css	etag:%227825-5c8cc0e365a6a%22	http://localhost/about_me/wp-content/uploads/elementor/css/post-9.css?ver=1628153620	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/elementor/css/post-9b79e.css	(from http://localhost/about_me/)
15:01:57	55753/55753	---M--	200	added ('OK')	text/css	etag:%22d9c9-5c8cb8776e2d7%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from http://localhost/about_me/)
15:01:59	661/661	---M--	200	added ('OK')	text/css	etag:%22295-5c8cb8776ac4d%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from http://localhost/about_me/)
15:02:04	816/816	---M--	200	added ('OK')	text/xml	date:Thu,%2005%20Aug%202021%2009:02:01%20GMT	http://localhost/about_me/xmlrpc.php?rsd	C:/wamp64/www/Portfolio/localhost/about_me/xmlrpc0db0.php	(from http://localhost/about_me/)
15:02:04	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/about_me/wp-includes/wlwmanifest.xml	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/wlwmanifest.xml	(from http://localhost/about_me/)
15:02:04	2211/2211	---M--	200	added ('OK')	application/json	date:Thu,%2005%20Aug%202021%2009:02:04%20GMT	http://localhost/about_me/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fabout_me%2F	C:/wamp64/www/Portfolio/localhost/about_me/wp-json/oembed/1.0/embed1a05.json	(from http://localhost/about_me/)
15:02:05	38098/38098	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Aug%202021%2009:01:59%20GMT	http://localhost/about_me/wp-json/wp/v2/pages/9	C:/wamp64/www/Portfolio/localhost/about_me/wp-json/wp/v2/pages/9.json	(from http://localhost/about_me/)
15:02:05	2301/2301	---M--	200	added ('OK')	text/xml	date:Thu,%2005%20Aug%202021%2009:02:04%20GMT	http://localhost/about_me/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fabout_me%2F&format=xml	C:/wamp64/www/Portfolio/localhost/about_me/wp-json/oembed/1.0/embed0542	(from http://localhost/about_me/)
15:02:05	1994/1994	---M--	200	added ('OK')	image/png	etag:%227ca-5c8cc27a8d9cf%22	http://localhost/about_me/wp-content/uploads/2021/08/cropped-main-logo-2-32x32.png	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/cropped-main-logo-2-32x32.png	(from http://localhost/about_me/)
15:02:09	112907/112907	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Aug%202021%2009:02:00%20GMT	http://localhost/about_me/wp-json/	C:/wamp64/www/Portfolio/localhost/about_me/wp-json/index.html	(from http://localhost/about_me/)
15:02:10	33594/33594	---M--	200	added ('OK')	image/png	etag:%22833a-5c8cc27a8125f%22	http://localhost/about_me/wp-content/uploads/2021/08/cropped-main-logo-2-192x192.png	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/cropped-main-logo-2-192x192.png	(from http://localhost/about_me/)
15:02:11	36970/36970	---M--	200	added ('OK')	image/png	etag:%22906a-5c8cc27a8aa42%22	http://localhost/about_me/wp-content/uploads/2021/08/cropped-main-logo-2-180x180.png	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/cropped-main-logo-2-180x180.png	(from http://localhost/about_me/)
15:02:24	87339/87339	---M--	200	added ('OK')	image/jpeg	etag:%221552b-5c8cb94a42407%22	http://localhost/about_me/wp-content/uploads/2021/08/3.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/3.jpg	(from http://localhost/about_me/)
15:02:26	91156/91156	---M--	200	added ('OK')	image/jpeg	etag:%2216414-5c8cb94ad4552%22	http://localhost/about_me/wp-content/uploads/2021/08/1.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/1.jpg	(from http://localhost/about_me/)
15:02:34	176155/176155	---M--	200	added ('OK')	application/pdf	etag:%222b01b-5c8cc0642aa76%22	http://localhost/about_me/wp-content/uploads/2021/08/Lewis-Roy-Main.pdf	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/Lewis-Roy-Main.pdf	(from http://localhost/about_me/)
15:02:46	231006/231006	---M--	200	added ('OK')	image/jpeg	etag:%223865e-5c8cb9488fae9%22	http://localhost/about_me/wp-content/uploads/2021/08/4.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/4.jpg	(from http://localhost/about_me/)
15:02:49	15220/15220	---M--	200	added ('OK')	application/javascript	etag:%223b74-5c8c8bd42dca8%22	http://localhost/about_me/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=3.6.7	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/themes/astra/assets/js/minified/frontend.minf4e1.js	(from http://localhost/about_me/)
15:02:49	1426/1426	---M--	200	added ('OK')	application/javascript	etag:%22592-5b83cfce57d00%22	http://localhost/about_me/wp-includes/js/wp-embed.min.js?ver=5.8	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/js/wp-embed.min41a3.js	(from http://localhost/about_me/)
15:02:50	5629/5629	---M--	200	added ('OK')	application/javascript	etag:%2215fd-5a7fbb57c37c0%22	http://localhost/about_me/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/js/imagesloaded.mineda1.js	(from http://localhost/about_me/)
15:03:05	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300%22	http://localhost/about_me/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/js/jquery/jquery.minaf6c.js	(from http://localhost/about_me/)
15:03:07	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80%22	http://localhost/about_me/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost/about_me/)
15:03:14	305974/305974	---M--	200	added ('OK')	image/jpeg	etag:%224ab36-5c8cb94b9c66e%22	http://localhost/about_me/wp-content/uploads/2021/08/2.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/2.jpg	(from http://localhost/about_me/)
15:03:15	6595/6595	---M--	200	added ('OK')	application/javascript	etag:%2219c3-5c8cb8979f685%22	http://localhost/about_me/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=2.10.3	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.minc27b.js	(from http://localhost/about_me/)
15:03:17	60475/60475	---M--	200	added ('OK')	application/javascript	etag:%22ec3b-5c8cb87743cf8%22	http://localhost/about_me/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.9.14	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/js/frontend-modules.min7c53.js	(from http://localhost/about_me/)
15:03:21	20787/20787	---M--	200	added ('OK')	application/javascript	etag:%225133-5bdd334ac27c0%22	http://localhost/about_me/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/js/jquery/ui/core.min35d0.js	(from http://localhost/about_me/)
15:03:23	10695/10695	---M--	200	added ('OK')	application/javascript	etag:%2229c7-5c8cb8775ab2d%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.6	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/dialog/dialog.minae9e.js	(from http://localhost/about_me/)
15:03:23	358153/358153	---M--	200	added ('OK')	image/jpeg	etag:%2257709-5c8cb94c7ca53%22	http://localhost/about_me/wp-content/uploads/2021/08/7.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/7.jpg	(from http://localhost/about_me/)
15:03:25	12198/12198	---M--	200	added ('OK')	application/javascript	etag:%222fa6-5c8cb8779d6a3%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from http://localhost/about_me/)
15:03:26	2635/2635	---M--	200	added ('OK')	application/javascript	etag:%22a4b-5c8cb87796d72%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=2.9.14	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/share-link/share-link.min7c53.js	(from http://localhost/about_me/)
15:03:37	134466/134466	---M--	200	added ('OK')	application/javascript	etag:%2220d42-5c8cb897975fa%22	http://localhost/about_me/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=2.10.3	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor-pro/assets/js/frontend.minc27b.js	(from http://localhost/about_me/)
15:03:38	401421/401421	---M--	200	added ('OK')	image/jpeg	etag:%226200d-5c8cb94ee573f%22	http://localhost/about_me/wp-content/uploads/2021/08/6.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/6.jpg	(from http://localhost/about_me/)
15:03:45	117731/117731	---M--	200	added ('OK')	application/javascript	etag:%221cbe3-5c8cb877448a8%22	http://localhost/about_me/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.9.14	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/js/frontend.min7c53.js	(from http://localhost/about_me/)
15:03:46	139153/139153	---M--	200	added ('OK')	application/javascript	etag:%2221f91-5c8cb8779a7e2%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from http://localhost/about_me/)
15:03:51	81224/81224	---M--	200	added ('OK')	font/woff2	etag:%2213d48-5c8cb8776662c%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.7.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsf884.woff2	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0)
15:03:51	270214/270214	---M--	200	added ('OK')	image/svg+xml	etag:%2241f86-5c8cb87765698%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.7.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsf884.svg	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0)
15:04:02	98704/98704	---M--	200	added ('OK')	font/woff	etag:%2218190-5c8cb87765e63%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.7.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsf884.woff	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0)
15:04:08	184780/184780	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222d1cc-5c8cb87764ecd%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.7.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsf884.eot	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0)
15:04:16	184620/184620	---M--	200	added ('OK')	font/ttf	etag:%222d12c-5c8cb87765a7d%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.7.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsf884.ttf	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0)
15:04:17	154927/154927	---M--	200	added ('OK')	image/jpeg	etag:%2225d2f-5c8cba46fbae1%22	http://localhost/about_me/wp-content/uploads/2021/08/for-scaled.jpg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/for-scaled.jpg	(from http://localhost/about_me/wp-content/uploads/elementor/css/post-9.css?ver=1628153620)
15:04:29	75936/75936	---M--	200	added ('OK')	font/woff2	etag:%22128a0-5c8cb87780aec%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0)
15:04:29	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222035a-5c8cb8777cc97%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0)
15:04:39	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222035a-5c8cb8777cc97%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0)
15:04:39	708706/708706	---M--	200	added ('OK')	image/svg+xml	etag:%22ad062-5c8cb8777efa7%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0)
15:04:43	89100/89100	---M--	200	added ('OK')	font/woff	etag:%2215c0c-5c8cb87780323%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0)
15:04:46	131624/131624	---M--	200	added ('OK')	font/ttf	etag:%2220228-5c8cb8777fb57%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	(from http://localhost/about_me/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0)
15:04:52	451269/451269	---M--	200	added ('OK')	image/png	etag:%226e2c5-5c8cb95032bd3%22	http://localhost/about_me/wp-content/uploads/2021/08/1212.png	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/uploads/2021/08/1212.png	(from http://localhost/about_me/wp-content/uploads/elementor/css/post-9.css?ver=1628153620)
